Unnamed: 0,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
7,demande,request
8,genre,kind
9,mois,month
10,frère,brother
11,laisser,let
12,car,because
13,mettre,to put
14,aucun,no
15,laisse,leash
20,arrivé,come
21,devrait,should
22,bébé,baby
23,longtemps,long time
24,heures,hours
25,vont,will
26,pendant,while
27,revoir,meet again
29,place,square
30,parle,speak
31,compris,understood
32,savais,knew
33,étaient,were
34,attention,Warning
35,voici,here is
36,pourrais,could
37,affaire,case
38,donner,give
39,type,type
40,donné,given
42,corps,body
43,endroit,place
44,yeux,eyes
45,façon,way
46,écoute,listen
47,dont,whose
48,trouve,find
49,premier,first
50,perdu,lost
51,main,hand
52,première,first
53,côté,side
54,pouvoir,power
55,vieux,old
58,matin,morning
61,point,point
62,venu,came
63,suite,after
64,pardon,sorry
65,venez,come
66,devant,in front of
67,vers,towards
68,minutes,minutes
69,demandé,request
71,mis,placed
72,belle,beautiful
73,aimerais,would like to
74,aujourd'hui,today
75,mari,husband
77,enfin,finally
79,eau,water
80,attendez,Wait
81,parti,left
82,nouvelle,new
83,arrêter,Stop
84,dirait,would say
85,terre,Earth
86,compte,account
87,donne,given
88,loin,far
89,fin,end
90,croire,believe
92,gros,large
93,plutôt,rather
94,aura,will have
95,filles,girls
96,jouer,to play
97,bureau,office
